Coverage report: 40%
Show keyboard shortcuts
filter...
Hide keyboard shortcuts
Hot-keys on this page

n s m x c   change column sorting

Module	statements	missing	excluded	coverage
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/dynamic.py	211	149	0	29%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/evaluator.py	93	73	0	22%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/events.py	334	162	0	51%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/exc.py	67	38	0	43%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/identity.py	231	123	0	47%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/instrumentation.py	264	108	0	59%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/interfaces.py	170	37	0	78%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/loading.py	433	257	0	41%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/mapper.py	1053	517	0	51%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/path_registry.py	191	86	0	55%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/persistence.py	693	463	0	33%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/properties.py	94	38	0	60%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/query.py	1271	800	0	37%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/relationships.py	922	456	0	51%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/scoping.py	64	23	0	64%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/session.py	909	455	0	50%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/state.py	350	174	0	50%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/strategies.py	952	715	0	25%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/strategy_options.py	560	436	0	22%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/sync.py	71	53	0	25%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/unitofwork.py	354	146	0	59%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/orm/util.py	377	274	0	27%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/pool/__init__.py	17	0	0	100%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/pool/base.py	357	165	0	54%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/pool/dbapi_proxy.py	54	38	0	30%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/pool/impl.py	201	139	0	31%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/processors.py	86	65	0	24%
/home/cashen563/.local/lib/python3.6/site-packages/sqlalchemy/schema.py	50	0	0	100%
